nace2,nace2_lb,wfh_freq,wfh_occ,wfh_untapped_sup,wfh_untapped_dem,wfh_feas
0,Overall,9.3275509,16.270103,20.322807,9.603672,55.524136
1," Crop and animal production, hunting and related service activities ",7.0103154,8.7005663,13.609602,7.8304572,37.150944
2, Forestry and logging ,7.6756425,10.016905,13.97877,7.4278412,39.099159
3, Fishing and aquaculture ,7.3526597,9.333148,13.984144,6.9392314,37.609184
5, Mining of coal and lignite ,4.6545281,12.928573,16.672853,5.1202016,39.376156
6, Extraction of crude petroleum and natural gas ,7.8862801,17.907692,20.233532,7.1007528,53.128254
7, Mining of metal ores ,4.5282822,11.422324,17.359606,5.9591641,39.269375
8, Other mining and quarrying ,4.7466559,11.5802,16.348263,6.3396111,39.014729
9, Mining support service activities ,5.7612147,14.053551,18.857819,7.392312,46.064896
10, Manufacture of food products ,6.0663342,10.927124,16.925207,7.909389,41.828053
11, Manufacture of beverages ,8.6321592,14.090222,18.431477,8.2601995,49.414059
12, Manufacture of tobacco products ,8.4700947,15.920342,20.639832,9.5341291,54.5644
13, Manufacture of textiles ,7.0394239,16.213627,24.318432,10.340856,57.912338
14, Manufacture of wearing apparel ,9.8763361,19.653284,25.275349,10.613239,65.418205
15, Manufacture of leather and related products ,6.6932449,16.095125,24.641766,10.365097,57.795231
16," Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",5.0757113,10.468868,16.237417,11.040684,42.822681
17, Manufacture of paper and paper products ,6.6250248,16.28916,25.50939,10.16181,58.585388
18, Printing and reproduction of recorded media ,7.3582096,18.144018,27.413336,10.501666,63.417225
19, Manufacture of coke and refined petroleum products ,8.507,19.607746,23.760178,9.3690195,61.243946
20, Manufacture of chemicals and chemical products ,8.2266951,19.152685,23.515759,9.8953066,60.790451
21," Manufacture of pharmaceuticals, medicinal chemical and botanical products ",8.6079321,20.107912,23.858809,10.019464,62.594116
22, Manufacture of rubber and plastics products ,5.890389,12.74084,18.615032,11.029334,48.275593
23, Manufacture of other non-metallic mineral products ,5.9839811,13.309191,17.993862,6.3228898,43.609924
24, Manufacture of basic metals ,5.055253,11.508561,18.985504,7.8096552,43.358974
25," Manufacture of fabricated metal products, except machinery and equipment ",5.1435871,11.326214,18.949316,7.9152532,43.33437
26," Manufacture of computer, electronic and optical products ",10.42651,21.541653,23.200195,9.5619936,64.730354
27, Manufacture of electrical equipment ,9.4092865,19.335447,22.941206,9.6053486,61.29129
28, Manufacture of machinery and equipment n.e.c. ,7.8362732,16.3836,21.742878,9.3987646,55.361515
29," Manufacture of motor vehicles, trailers and semi-trailers ",7.0340214,16.173311,21.859566,10.054145,55.121048
30, Manufacture of other transport equipment ,7.9376078,17.441475,22.173439,10.021835,57.574356
